OVERALL STATS
SPIN COUNT	1000
TOTAL WIN	1209.0
BASE WIN	1194.0
FREE WIN	15.0
FREE TRIGGERS	5

RTP	120.9
TOTAL WIN DIST	 4.1625495792843115
0	788
5.5	4
0.5	55
2.0	37
24.0	2
20.5	1
3.0	12
4.0	20
16.0	10
5.0	15
4.5	2
8.0	9
2.5	4
20.0	8
7.0	4
6.0	3
21.0	1
23.0	1
12.0	3
8.5	2
40.0	2
40.5	2
1.0	6
12.5	1
15.0	1
7.5	1
13.0	1
9.0	1
10.0	2
21.5	1
6.5	1

BASE WIN DIST	 4.139790332855035
0	789
5.5	4
0.5	55
2.0	37
24.0	2
20.5	1
3.0	12
4.0	20
16.0	10
5.0	15
4.5	2
8.0	9
2.5	4
20.0	8
7.0	4
6.0	3
21.0	1
23.0	1
12.0	3
8.5	2
40.0	2
40.5	2
1.0	6
12.5	1
7.5	1
13.0	1
9.0	1
10.0	2
21.5	1
6.5	1

FREE WIN DIST	 6.0
0	4
15.0	1

