OVERALL STATS
SPIN COUNT	1000000
TOTAL WIN	1185108.5
BASE WIN	1148406.0
FREE WIN	36702.5
FREE TRIGGERS	3858

RTP	118.51084999999999
TOTAL WIN DIST	 4.822974869645058
24.5	10
67.0	1
57.5	1
31.0	6
69.0	1
33.0	7
40.0	15
53.0	3
39.5	1
100.5	6
108.5	1
50.5	2
37.5	2
39.0	2
36.0	6
140.0	1
64.5	1
47.0	5
111.0	1
30.5	9
117.0	1
49.0	2
116.0	1
109.5	2
110.0	2
103.5	2
109.0	1
61.0	2
43.0	3
89.5	1
34.0	4
81.0	1
45.5	2
118.0	1
106.0	1
35.5	3
34.5	3
35.0	4
44.5	4
55.0	2
38.0	1
46.0	2
102.5	1
36.5	3
101.0	1
56.0	1
47.5	2
79.0	1
50.0	1
65.0	1
60.0	1
55.5	1
102.0	2
59.5	1
108.0	1

