OVERALL STATS
SPIN COUNT	10000
TOTAL WIN	12028.5
BASE WIN	11742.5
FREE WIN	286.0
FREE TRIGGERS	35

RTP	120.285
TOTAL WIN DIST	 5.04474249863162
0	7783
8.0	100
20.0	59
0.5	537
2.0	421
16.0	54
5.0	193
17.0	4
12.0	26
4.0	228
4.5	25
3.0	121
22.0	14
19.0	1
1.0	123
10.0	16
12.5	13
8.5	7
20.5	12
6.0	18
32.0	4
5.5	35
21.0	3
6.5	2
9.0	13
11.0	4
15.0	5
7.0	30
30.0	7
7.5	6
2.5	33
23.0	3
1.5	11
100.0	8
18.0	7
13.5	2
40.0	10
16.5	6
3.5	18
44.0	2
17.5	1
10.5	3
9.5	1
41.0	2
120.0	1
57.0	1
32.5	1
60.0	2
14.0	4
24.0	2
34.0	2
56.0	2
33.0	1
15.5	2
42.0	2
48.5	1
13.0	1
25.0	2
30.5	2
54.0	1
102.0	1
56.5	1

BASE WIN DIST	 4.981873336155788
0	7813
8.0	98
20.0	59
0.5	533
2.0	422
16.0	54
5.0	192
17.0	4
12.0	26
4.0	227
4.5	24
3.0	117
22.0	14
19.0	1
1.0	123
10.0	16
12.5	11
20.5	12
6.0	17
32.0	4
5.5	35
21.0	3
6.5	2
9.0	13
11.0	3
15.0	5
7.0	30
30.0	7
2.5	31
1.5	9
100.0	8
18.0	7
7.5	5
40.0	10
13.5	1
16.5	6
3.5	17
8.5	6
17.5	1
10.5	3
41.0	2
120.0	1
57.0	1
32.5	1
60.0	2
14.0	4
24.0	2
34.0	2
56.0	2
33.0	1
23.0	2
42.0	2
48.5	1
13.0	1
25.0	2
30.5	2
102.0	1
44.0	1
56.5	1

FREE WIN DIST	 10.889669322765668
8.5	1
7.5	1
23.0	1
11.5	1
8.0	2
6.0	1
2.0	2
0	1
0.5	4
39.0	1
11.0	1
3.0	4
9.5	1
4.5	1
2.5	2
1.5	3
15.5	1
13.5	1
12.5	2
5.0	2
4.0	1
54.0	1

