OVERALL STATS
SPIN COUNT	1000
TOTAL WIN	1336.5
BASE WIN	1266.5
FREE WIN	70.0
FREE TRIGGERS	7

RTP	133.65
TOTAL WIN DIST	 5.916250311641658
0	770
1.5	1
4.0	26
0.5	59
110.0	1
20.5	1
2.0	36
12.0	6
8.0	11
5.0	20
5.5	3
3.0	6
20.0	3
2.5	6
1.0	14
16.0	7
17.0	2
11.0	1
14.5	1
7.0	6
3.5	1
40.0	2
15.0	1
10.0	3
8.5	1
4.5	2
18.0	1
25.0	1
22.5	1
6.0	1
9.0	2
10.5	1
23.0	1
33.0	1
100.0	1

BASE WIN DIST	 5.80057994945333
0	774
1.5	1
4.0	26
0.5	59
110.0	1
20.5	1
2.0	36
12.0	6
8.0	11
5.0	20
5.5	3
3.0	6
20.0	2
1.0	14
16.0	7
17.0	2
11.0	1
14.5	1
2.5	5
7.0	6
3.5	1
40.0	2
15.0	1
10.0	3
8.5	1
4.5	2
18.0	1
6.0	1
9.0	2
10.5	1
23.0	1
33.0	1
100.0	1

FREE WIN DIST	 10.938137736509681
0	3
20.0	1
2.5	1
25.0	1
22.5	1

