OVERALL STATS
SPIN COUNT	1000
TOTAL WIN	980.5
BASE WIN	980.5
FREE WIN	0
FREE TRIGGERS	3

RTP	98.05
TOTAL WIN DIST	 4.306665734649022
3.0	12
0	799
0.5	47
1.0	17
4.0	22
5.0	19
20.0	8
2.0	31
2.5	4
22.0	1
10.5	2
5.5	7
16.0	5
14.5	1
101.0	1
6.0	1
8.0	7
4.5	1
1.5	3
7.0	2
9.0	2
10.0	2
15.0	1
8.5	1
12.0	2
30.0	1
11.5	1

BASE WIN DIST	 4.306665734649022
3.0	12
0	799
0.5	47
1.0	17
4.0	22
5.0	19
20.0	8
2.0	31
2.5	4
22.0	1
10.5	2
5.5	7
16.0	5
14.5	1
101.0	1
6.0	1
8.0	7
4.5	1
1.5	3
7.0	2
9.0	2
10.0	2
15.0	1
8.5	1
12.0	2
30.0	1
11.5	1

FREE WIN DIST	 0.0
0	3

