OVERALL STATS
SPIN COUNT	1000
TOTAL WIN	1040.5
BASE WIN	1040.5
FREE WIN	0
FREE TRIGGERS	2

RTP	104.05
TOTAL WIN DIST	 4.48275693630605
0	775
4.0	29
2.0	46
3.5	1
5.5	5
25.0	2
0.5	48
5.0	17
16.0	7
8.0	7
1.0	18
3.0	15
10.5	1
7.0	3
8.5	2
6.0	3
17.0	1
7.5	1
13.0	1
12.0	1
40.0	2
2.5	5
10.0	2
18.0	1
100.0	1
30.0	1
20.0	1
4.5	3
1.5	1

BASE WIN DIST	 4.48275693630605
0	775
4.0	29
2.0	46
3.5	1
5.5	5
25.0	2
0.5	48
5.0	17
16.0	7
8.0	7
1.0	18
3.0	15
10.5	1
7.0	3
8.5	2
6.0	3
17.0	1
7.5	1
13.0	1
12.0	1
40.0	2
2.5	5
10.0	2
18.0	1
100.0	1
30.0	1
20.0	1
4.5	3
1.5	1

FREE WIN DIST	 0.0
0	2

